Department_ID,Department_Name,Salary hr
101,HR,$125 
102,Marketing,$250 
103,Sales,$170 
104,Production,$300 
105,Development,$500 
106,Trading,$550 
107,HR,$125 
108,Marketing,$250 
109,Sales,$170 
110,Production,$300 
111,Development,$500 
112,Trading,$550 
113,HR,$125 
114,Marketing,$250 
115,Sales,$170 
116,Production,$300 
117,Development,$500 
118,Trading,$550 
119,HR,$125 
120,Marketing,$250 
121,Sales,$170 
122,Production,$300 
123,Development,$500 
124,Trading,$550 
125,HR,$125 
126,Marketing,$250 
127,Sales,$170 
128,Production,$300 
129,Development,$500 
130,Trading,$550 
131,HR,$125 
132,Marketing,$250 
133,Sales,$170 
134,Production,$300 
135,Development,$500 
136,Trading,$550 
137,HR,$125 
138,Marketing,$250 
139,Sales,$170 
140,Production,$300 
141,Development,$500 
142,Trading,$550 
143,HR,$125 
144,Marketing,$250 
145,Sales,$170 
146,Production,$300 
147,Development,$500 
148,Trading,$550 
149,HR,$125 
150,Marketing,$250 
151,Sales,$170 
152,Production,$300 
153,Development,$500 
154,Trading,$550 
155,HR,$125 
156,Marketing,$250 
157,Sales,$170 
158,Production,$300 
159,Development,$500 
160,Trading,$550 
161,HR,$125 
162,Marketing,$250 
163,Sales,$170 
164,Production,$300 
165,Development,$500 
166,Trading,$550 
167,HR,$125 
168,Marketing,$250 
169,Sales,$170 
170,Production,$300 
171,Development,$500 
172,Trading,$550 
173,HR,$125 
174,Marketing,$250 
175,Sales,$170 
176,Production,$300 
177,Development,$500 
178,Trading,$550 
179,HR,$125 
180,Marketing,$250 
181,Sales,$170 
182,Production,$300 
183,Development,$500 
184,Trading,$550 
185,HR,$125 
186,Marketing,$250 
187,Sales,$170 
188,Production,$300 
189,Development,$500 
190,Trading,$550 
191,HR,$125 
192,Marketing,$250 
193,Sales,$170 
194,Production,$300 
195,Development,$500 
196,Trading,$550 
197,HR,$125 
198,Marketing,$250 
199,Sales,$170 
200,Production,$300 
201,Development,$500 
202,Trading,$550 
203,HR,$125 
204,Marketing,$250 
205,Sales,$170 
206,Production,$300 
207,Development,$500 
208,Trading,$550 
209,HR,$125 
210,Marketing,$250 
211,Sales,$170 
212,Production,$300 
213,Development,$500 
214,Trading,$550 
215,HR,$125 
216,Marketing,$250 
217,Sales,$170 
218,Production,$300 
219,Development,$500 
220,Trading,$550 
221,HR,$125 
222,Marketing,$250 
223,Sales,$170 
224,Production,$300 
225,Development,$500 
226,Trading,$550 
227,HR,$125 
228,Marketing,$250 
229,Sales,$170 
230,Production,$300 
231,Development,$500 
232,Trading,$550 
233,HR,$125 
234,Marketing,$250 
235,Sales,$170 
236,Production,$300 
237,Development,$500 
238,Trading,$550 
239,HR,$125 
240,Marketing,$250 
241,Sales,$170 
242,Production,$300 
243,Development,$500 
244,Trading,$550 
245,HR,$125 
246,Marketing,$250 
247,Sales,$170 
248,Production,$300 
249,Development,$500 
250,Trading,$550 
251,HR,$125 
252,Marketing,$250 
253,Sales,$170 
254,Production,$300 
255,Development,$500 
256,Trading,$550 
257,HR,$125 
258,Marketing,$250 
259,Sales,$170 
260,Production,$300 
261,Development,$500 
262,Trading,$550 
263,HR,$125 
264,Marketing,$250 
265,Sales,$170 
266,Production,$300 
267,Development,$500 
268,Trading,$550 
269,HR,$125 
270,Marketing,$250 
271,Sales,$170 
272,Production,$300 
273,Development,$500 
274,Trading,$550 
275,HR,$125 
276,Marketing,$250 
277,Sales,$170 
278,Production,$300 
279,Development,$500 
280,Trading,$550 
281,HR,$125 
282,Marketing,$250 
283,Sales,$170 
284,Production,$300 
285,Development,$500 
286,Trading,$550 
287,HR,$125 
288,Marketing,$250 
289,Sales,$170 
290,Production,$300 
291,Development,$500 
292,Trading,$550 
293,HR,$125 
294,Marketing,$250 
295,Sales,$170 
296,Production,$300 
297,Development,$500 
298,Trading,$550 
299,HR,$125 
300,Marketing,$250 
301,Sales,$170 
302,Production,$300 
303,Development,$500 
304,Trading,$550 
305,HR,$125 
306,Marketing,$250 
307,Sales,$170 
308,Production,$300 
309,Development,$500 
310,Trading,$550 
311,HR,$125 
312,Marketing,$250 
313,Sales,$170 
314,Production,$300 
315,Development,$500 
316,Trading,$550 
317,HR,$125 
318,Marketing,$250 
319,Sales,$170 
320,Production,$300 
321,Development,$500 
322,Trading,$550 
323,HR,$125 
324,Marketing,$250 
325,Sales,$170 
326,Production,$300 
327,Development,$500 
328,Trading,$550 
329,HR,$125 
330,Marketing,$250 
331,Sales,$170 
332,Production,$300 
333,Development,$500 
334,Trading,$550 
335,HR,$125 
336,Marketing,$250 
337,Sales,$170 
338,Production,$300 
339,Development,$500 
340,Trading,$550 
341,HR,$125 
342,Marketing,$250 
343,Sales,$170 
344,Production,$300 
345,Development,$500 
346,Trading,$550 
347,HR,$125 
348,Marketing,$250 
349,Sales,$170 
350,Production,$300 
351,Development,$500 
352,Trading,$550 
353,HR,$125 
354,Marketing,$250 
355,Sales,$170 
